SIGLA;CODIBGE;NOMEMUNI;IDH1991;IDH2000;HOMICIDIOS;RENDA1991;RENDA2000
GO;5221551;Turvelândia;0.626;0.685;2;131.292;181.339
GO;5221577;Uirapuru;0.554;0.662;;96.148;125.046
GO;5221601;Uruaçu;0.663;0.738;2;160.849;192.721
GO;5221700;Uruana;0.703;0.758;5;183.82;201.567
GO;5221809;Urutaí;0.666;0.76;;159.697;218.238
GO;5221858;Valparaíso de Goiás;0.739;0.795;27;246.192;284.097
GO;5221908;Varjão;0.639;0.729;1;124.944;175.742
GO;5222005;Vianópolis;0.694;0.784;;160.012;355.471
GO;5222054;Vicentinópolis;0.681;0.773;1;186.19;259.839
GO;5222203;Vila Boa;0.585;0.674;5;97.021;127.437
GO;5222302;Vila Propício;0.539;0.674;;74.623;109.248
